Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J2",PinHeader_1x05_P2.00mm_Vertical,2,Conn_01x05_Female,
"SW1, SW2",EVQWGD001-sadek-no cutout,2,Rotary_Encoder_Switch-EVQ,
