Comment,Designator,Footprint,LCSC
SK6803Mini-E,D20,ScyllaBallz-SK6812MINI-E,
Drill Mountpoint,DRILL4,MountingHole_3.2mm_M3_Pad_Via,
SK6803Mini-E,D28,ScyllaBallz-SK6812MINI-E,
SK6803Mini-E,D13,ScyllaBallz-SK6812MINI-E,
Hole,H1,JLC_SMT_Assembly_Hole,
SK6803Mini-E,D31,ScyllaBallz-SK6812MINI-E,
Drill Mountpoint,DRILL15,MountingHole_3.2mm_M3_Pad_Via,
SK6803Mini-E,D19,ScyllaBallz-SK6812MINI-E,
SMD-PPTC-1000MA,F2,Fuse_1206_3216Metric,
Hole,H18,JLC_SMT_Assembly_Hole,
Hole,H2,JLC_SMT_Assembly_Hole,
SK6803Mini-E,D29,ScyllaBallz-SK6812MINI-E,
Drill Mountpoint,DRILL10,MountingHole_3.2mm_M3_Pad_Via,
SK6803Mini-E,D27,ScyllaBallz-SK6812MINI-E,
Conn_01x03_Female,J9,PinHeader_1x3_staggered_P2.54mm_Vertical,
Drill Mountpoint,DRILL5,MountingHole_3.2mm_M3_Pad_Via,
PWM3360,U3,DIP-16_W10.16mm-rev,
SK6803Mini-E,D24,ScyllaBallz-SK6812MINI-E,
Drill Mountpoint,DRILL2,MountingHole_3.2mm_M3_Pad_Via,
Drill Mountpoint,DRILL8,MountingHole_3.2mm_M3_Pad_Via,
VL120628H,LRA2,VL120628H,
Conn_01x06_Female,J1,PinHeader_1x6_P2.54mm_Vertical,
Conn_01x06_Female,J13,PinHeader_1x6_P2.54mm_Vertical,
SK6803Mini-E,D6,ScyllaBallz-SK6812MINI-E,
Drill Mountpoint,DRILL9,MountingHole_3.2mm_M3_Pad_Via,
SK6803Mini-E,D35,ScyllaBallz-SK6812MINI-E,
Conn_01x06_Female,J7,PinHeader_1x06_P2.54mm_Vertical,
SK6803Mini-E,D32,ScyllaBallz-SK6812MINI-E,
SK6803Mini-E,D22,ScyllaBallz-SK6812MINI-E,
Hole,H3,JLC_SMT_Assembly_Hole,
Waveshare_-_160x80_(ST7735S),J6,ST7735s -160x80,
Drill Mountpoint,DRILL16,MountingHole_3.2mm_M3_Pad_Via,
Drill Mountpoint,DRILL6,MountingHole_3.2mm_M3_Pad_Via,
Drill Mountpoint,DRILL7,MountingHole_3.2mm_M3_Pad_Via,
SK6803Mini-E,D34,ScyllaBallz-SK6812MINI-E,
SK6803Mini-E,D25,ScyllaBallz-SK6812MINI-E,
